game_id,game_date,team_id,team_name,opponent_id,opponent_name,home_away,actual_margin,current_city,previous_city,games_last_7,games_last_14,density_score,days_since_last_game,travel_miles,travel_load,fatigue_index,fatigue_tier,expected_margin,pve,base_form_diff,win_diff,home_away_adj,fatigue_adj,expected_raw,expected_total
18447556,2026-02-05 00:00:00+00:00,27,San Antonio Spurs,7,Dallas Mavericks,A,12,Dallas,San Antonio,3,5,38.2,1,251.5,1,50.2,High,5.54,6.46,9.0,3.0,-4.5,-1.51,5.99,5.54
18447557,2026-02-05 00:00:00+00:00,10,Golden State Warriors,24,Phoenix Suns,A,4,Phoenix,San Francisco,2,5,18.8,2,651.4,2,24.1,Low,-10.35,14.35,-8.0,-2.4,-4.5,-0.72,-15.62,-10.35
18447557,2026-02-05 00:00:00+00:00,24,Phoenix Suns,10,Golden State Warriors,H,-4,Phoenix,Portland,4,6,68.0,2,1006.3,3,72.0,Critical,9.44,-13.44,8.0,2.4,4.5,-2.16,12.74,9.44
18447558,2026-02-05 00:00:00+00:00,14,Los Angeles Lakers,23,Philadelphia 76ers,H,4,Los Angeles,Brooklyn,3,6,45.2,2,2448.8,3,51.5,High,6.29,-2.29,3.51,0.51,4.5,-1.54,6.98,6.29
18447558,2026-02-05 00:00:00+00:00,23,Philadelphia 76ers,14,Los Angeles Lakers,A,-4,Los Angeles,San Francisco,4,7,75.0,2,345.5,2,74.7,Critical,-8.58,4.58,-3.51,-0.51,-4.5,-2.24,-10.77,-8.58
18447559,2026-02-06 00:00:00+00:00,2,Boston Celtics,16,Miami Heat,H,2,Boston,Houston,4,7,75.0,2,1604.1,3,78.3,Critical,6.98,-4.98,4.83,1.0,4.5,-2.35,7.98,6.98
18447559,2026-02-06 00:00:00+00:00,16,Miami Heat,2,Boston Celtics,A,-2,Boston,Miami,3,7,52.2,3,1257.4,3,50.1,High,-9.07,5.0,-4.83,-1.0,-4.5,-1.5,-11.84,-9.07
18447560,2026-02-06 00:00:00+00:00,9,Detroit Pistons,20,New York Knicks,H,38,Detroit,Detroit,4,7,75.0,1,0.0,1,87.0,Critical,-10.82,48.82,-17.67,-2.0,4.5,-2.61,-17.78,-10.82
18447560,2026-02-06 00:00:00+00:00,20,New York Knicks,9,Detroit Pistons,A,-38,Detroit,New York,4,7,75.0,2,481.1,2,74.7,Critical,9.51,-11.88,17.67,2.0,-4.5,-2.24,12.93,9.51
18447561,2026-02-06 00:00:00+00:00,12,Indiana Pacers,17,Milwaukee Bucks,A,-6,Milwaukee,Indianapolis,3,5,38.2,3,244.4,1,32.9,Elevated,-7.34,1.34,-2.45,-0.6,-4.5,-0.99,-8.54,-7.34
